"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jean Segura","- - -","991","4265","90","558","398","134","5.5%","14.1%",".131",".321",".289",".336",".420",".326","","103","9.8","26.0","47.7","21.4","5933"
"Lorenzo Cain","- - -","813","3389","70","469","310","131","8.3%","16.8%",".128",".328",".284",".350",".413",".331","","106","21.5","44.5","52.8","21.3","9077"
"Matt Carpenter","- - -","940","3594","145","511","430","18","14.3%","23.1%",".221",".292",".248",".364",".468",".357","","126","0.3","113.0","-26.0","20.9","8090"
"Giancarlo Stanton","- - -","800","3382","224","465","572","12","11.2%","28.2%",".275",".301",".259",".346",".534",".369","","136","-12.3","136.2","-42.4","20.9","4949"
"Kevin Kiermaier","TBR","805","2987","72","375","281","107","7.1%","22.3%",".157",".299",".246",".307",".402",".306","","95","28.9","10.6","91.5","20.5","11038"
"Eugenio Suarez","- - -","1066","4359","220","549","611","25","10.2%","26.6%",".223",".298",".250",".335",".473",".345","","114","-19.9","52.2","5.8","20.3","12552"
"Michael Conforto","NYM","757","2980","132","400","396","18","12.1%","23.8%",".214",".300",".255",".356",".468",".352","","124","4.4","96.6","1.4","19.3","16376"
"Tim Anderson","CHW","772","3284","97","476","313","104","3.6%","23.2%",".155",".352",".288",".316",".442",".324","","104","18.2","36.6","41.1","19.2","15172"
"Ronald Acuna Jr.","ATL","514","2297","120","394","296","107","11.4%","25.3%",".240",".333",".277",".370",".517",".376","","134","21.6","120.7","-9.7","18.4","18401"
"Whit Merrifield","- - -","907","3939","79","522","403","175","6.2%","15.8%",".140",".322",".285",".331",".426",".325","","102","27.1","38.3","7.4","18.3","11281"
"Matt Olson","- - -","737","3068","176","409","476","7","11.3%","23.6%",".253",".275",".250",".343",".503",".356","","130","-5.0","105.9","-31.3","18.1","14344"
"Rafael Devers","BOS","689","2958","139","439","455","24","7.7%","21.0%",".229",".320",".283",".342",".512",".358","","123","4.5","88.1","-6.1","18.1","17350"
"Byron Buxton","MIN","585","2140","98","315","255","77","6.4%","29.1%",".229",".305",".244",".301",".473",".327","","106","31.8","47.2","58.6","18.0","14161"
"Andrelton Simmons","- - -","874","3400","43","364","320","61","6.5%","9.6%",".096",".286",".268",".319",".364",".298","","86","-1.6","-57.4","119.8","18.0","10847"
"Brandon Nimmo","NYM","608","2368","63","335","213","23","13.6%","22.3%",".173",".336",".269",".385",".441",".362","","134","4.0","103.3","-3.3","17.9","12927"
"Kolten Wong","- - -","957","3538","70","428","336","94","8.1%","15.6%",".139",".299",".265",".342",".403",".323","","103","23.1","37.8","21.8","17.8","12532"
"Brandon Belt","SFG","891","3592","130","454","416","24","13.2%","23.7%",".204",".315",".258",".361",".462",".354","","124","-3.8","102.2","-43.7","17.8","10264"
"Jonathan Schoop","- - -","991","3969","157","489","491","13","4.2%","21.9%",".182",".298",".260",".300",".443",".316","","98","-11.4","-17.1","56.1","17.6","11265"
"Michael Brantley","- - -","760","3254","81","417","404","46","8.4%","10.6%",".158",".322",".305",".367",".463",".356","","125","3.7","101.3","-38.9","17.5","4106"
"Brian Dozier","- - -","757","3230","145","447","391","61","10.3%","20.6%",".218",".270",".246",".329",".464",".338","","110","8.8","49.4","15.2","17.4","9810"
"Elvis Andrus","- - -","1033","4223","76","515","426","143","6.4%","14.2%",".126",".297",".268",".317",".394",".308","","89","25.1","-33.4","60.9","17.4","8709"
"Cody Bellinger","LAD","745","2983","152","434","422","62","11.0%","23.2%",".239",".277",".248",".332",".487",".342","","116","14.6","79.2","-3.7","17.3","15998"
"Carlos Santana","- - -","1134","4806","180","595","589","29","14.9%","15.6%",".187",".250",".239",".354",".426",".338","","112","1.4","70.0","-64.6","17.0","2396"
"Charlie Blackmon","COL","1099","4784","179","739","598","97","7.5%","17.4%",".203",".333",".299",".360",".502",".366","","115","7.6","98.3","-87.1","16.9","7859"
"Evan Longoria","- - -","953","3850","147","438","496","16","7.2%","20.5%",".190",".292",".260",".316",".450",".325","","105","-5.2","19.7","16.9","16.7","9368"
